Fecha,CO (mg/m3),NO (ug/m3),NO2 (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM25 (ug/m3),SO2 (ug/m3),Provincia,Estación,Latitud,Longitud
12/31/2020,0.6,8,16,,6,,1,Burgos,Burgos1,42.35111111,-3.675555556
12/31/2020,,2,6,,8,,4,León,C.T.L.R. - Naredo,42.81666667,-5.533333333
12/31/2020,,8,2,65,4,,2,León,Carracedelo,42.55861111,-6.725555556
12/31/2020,,1,4,58,21,,17,León,La Robla,42.80166667,-5.625
12/31/2020,,1,1,,6,,2,León,Tudela Veguin-Tudela Veguin,42.80166667,-5.648888889
12/31/2020,,2,2,62,6,,6,León,Valderas,42.07972222,-5.448888889
12/31/2020,,5,9,56,5,,5,Palencia,Guardo,42.79138889,-4.846388889
12/31/2020,,2,6,53,6,,5,Palencia,Hontoria 1 - Poblado,41.93277778,-4.47
12/31/2020,,2,6,59,5,,,Palencia,Renault4,41.96138889,-4.494444444
12/31/2020,,1,1,81,,,2,Salamanca,El Maillo,40.56944444,-6.223888889
12/31/2020,,4,11,,4,,3,Salamanca,Salamanca5,40.97888889,-5.666388889
12/31/2020,0.9,6,24,,7,6,,Valladolid,Arco de ladrillo II,41.64555556,-4.730277778
12/31/2020,,13,24,,6,6,9,Valladolid,La rubia II,41.63,-4.740555556
12/31/2020,,1,3,64,6,,10,Valladolid,Medina del Campo,41.31638889,-4.909166667
12/31/2020,,1,11,48,,,,Valladolid,Michelin2,41.68333333,-4.741111111
12/31/2020,,4,19,44,10,6,,Valladolid,Puente Poniente-Mº Luisa Sánchez,41.65611111,-4.733888889
12/31/2020,,2,11,50,5,,,Valladolid,Vega Sicilia,41.62055556,-4.746666667
12/31/2020,0.5,4,4,67,3,,5,Burgos,Aranda de Duero 2,41.66555556,-3.688888889
12/31/2020,,3,14,52,9,,2,Burgos,Miranda de Ebro2,42.68527778,-2.940277778
12/31/2020,,7,22,45,3,,9,León,C.T.L.R. - Cuadros,42.71555556,-5.638888889
12/31/2020,,1,3,61,5,,5,León,C.T.L.R. - Ventosilla,42.94416667,-5.661944444
12/31/2020,,2,2,73,12,,1,León,Lario,43.04166667,-5.091388889
12/31/2020,0.5,10,28,,11,,13,León,Leon1,43.60333333,-5.589166667
12/31/2020,,,,,6,,4,León,Otero,42.56444444,-6.781944444
12/31/2020,,,,,6,,,León,Toral de los Vados,42.545,-6.725555556
12/31/2020,,1,1,60,2,2,1,Palencia,C.T.G. - Villalba,42.70361111,-4.827222222
12/31/2020,,2,2,63,1,,3,Palencia,Palencia 3,42.01777778,-4.540555556
12/31/2020,,4,2,65,,,4,Soria,Muriel de la Fuente,41.72361111,-2.856944444
12/31/2020,,6,16,64,4,,2,Soria,Soria,41.76722222,-2.480555556
12/31/2020,,2,17,,1,,,Valladolid,Renault3,41.61277778,-4.740833333
12/31/2020,,8,10,61,7,,3,Zamora,Zamora 2,41.50888889,-5.748055556
12/31/2020,,2,3,69,3,,2,Avila,Avila II,40.66472222,-4.700833333
12/31/2020,,2,4,57,4,2,5,Burgos,Burgos4,42.33472222,-3.637222222
12/31/2020,,1,1,60,7,,2,Burgos,Medina de Pomar,42.95166667,-3.475277778
12/31/2020,,2,13,43,4,,1,León,Leon 4,42.57527778,-5.566388889
12/31/2020,,1,6,69,7,,3,León,Ponferrada4,42.54277778,-6.585
12/31/2020,,1,1,53,1,1,3,Palencia,C.T.G. - Compuerto,42.84916667,-4.835833333
12/31/2020,,5,3,57,4,,3,Palencia,Hontoria 2 - Venta de Baños,41.94805556,-4.465833333
12/31/2020,,3,4,68,8,3,,Salamanca,Salamanca6,40.96055556,-5.639444444
12/31/2020,,2,8,69,6,,3,Segovia,Segovia 2,40.95583333,-4.110555556
12/31/2020,,2,21,41,,,,Valladolid,Michelin1,41.66638889,-4.715
12/31/2020,,2,4,53,,,,Valladolid,Renault1,41.6,-4.7325
12/31/2020,0.3,7,44,,1,,,Valladolid,Renault2,41.60416667,-4.728888889
12/31/2020,,1,9,44,,,,Valladolid,VALLADOLID SUR,41.61138889,-4.772222222
12/30/2020,,4,16,49,9,,1,Burgos,Miranda de Ebro2,42.68527778,-2.940277778
12/30/2020,,6,21,47,,,8,León,C.T.L.R. - Cuadros,42.71555556,-5.638888889
12/30/2020,,,,,8,,,León,Toral de los Vados,42.545,-6.725555556
12/30/2020,,2,1,65,1,1,6,Palencia,C.T.G. - Villalba,42.70361111,-4.827222222
12/30/2020,,3,2,64,1,,3,Palencia,Palencia 3,42.01777778,-4.540555556
12/30/2020,,7,20,,6,,4,Salamanca,Salamanca5,40.97888889,-5.666388889
12/30/2020,,11,19,60,6,,2,Soria,Soria,41.76722222,-2.480555556
12/30/2020,0.9,13,32,,10,7,,Valladolid,Arco de ladrillo II,41.64555556,-4.730277778
12/30/2020,,18,29,,8,4,8,Valladolid,La rubia II,41.63,-4.740555556
12/30/2020,,2,7,48,,,,Valladolid,Renault1,41.6,-4.7325
12/30/2020,,2,19,,2,,,Valladolid,Renault3,41.61277778,-4.740833333
12/30/2020,0.6,10,19,,5,,1,Burgos,Burgos1,42.35111111,-3.675555556
12/30/2020,,1,1,63,9,,2,Burgos,Medina de Pomar,42.95166667,-3.475277778
12/30/2020,,2,5,,7,,4,León,C.T.L.R. - Naredo,42.81666667,-5.533333333
12/30/2020,,8,2,63,6,,2,León,Carracedelo,42.55861111,-6.725555556
12/30/2020,,2,10,56,4,,1,León,Leon 4,42.57527778,-5.566388889
12/30/2020,,1,3,,7,,2,León,Tudela Veguin-Tudela Veguin,42.80166667,-5.648888889
12/30/2020,,2,7,55,6,,4,Palencia,Hontoria 1 - Poblado,41.93277778,-4.47
12/30/2020,,5,4,59,4,,3,Palencia,Hontoria 2 - Venta de Baños,41.94805556,-4.465833333
12/30/2020,,2,8,64,4,,,Palencia,Renault4,41.96138889,-4.494444444
12/30/2020,,1,1,78,,,2,Salamanca,El Maillo,40.56944444,-6.223888889
12/30/2020,,4,15,55,12,4,,Salamanca,Salamanca6,40.96055556,-5.639444444
12/30/2020,,3,8,65,7,,5,Segovia,Segovia 2,40.95583333,-4.110555556
12/30/2020,,8,28,38,10,6,,Valladolid,Puente Poniente-Mº Luisa Sánchez,41.65611111,-4.733888889
12/30/2020,0.3,12,51,,1,,,Valladolid,Renault2,41.60416667,-4.728888889
12/30/2020,,2,4,67,5,,1,Avila,Avila II,40.66472222,-4.700833333
12/30/2020,0.4,5,7,55,6,,5,Burgos,Aranda de Duero 2,41.66555556,-3.688888889
12/30/2020,,3,4,56,4,2,4,Burgos,Burgos4,42.33472222,-3.637222222
12/30/2020,,1,3,72,5,,5,León,C.T.L.R. - Ventosilla,42.94416667,-5.661944444
12/30/2020,,2,8,55,16,,15,León,La Robla,42.80166667,-5.625
12/30/2020,,3,3,80,13,,1,León,Lario,43.04166667,-5.091388889
12/30/2020,0.4,5,18,,6,,10,León,Leon1,43.60333333,-5.589166667
12/30/2020,,,,,6,,3,León,Otero,42.56444444,-6.781944444
12/30/2020,,1,7,68,9,,3,León,Ponferrada4,42.54277778,-6.585
12/30/2020,,2,3,65,5,,6,León,Valderas,42.07972222,-5.448888889
12/30/2020,,2,1,53,2,2,3,Palencia,C.T.G. - Compuerto,42.84916667,-4.835833333
12/30/2020,,5,10,56,7,,15,Palencia,Guardo,42.79138889,-4.846388889
12/30/2020,,4,3,60,,,5,Soria,Muriel de la Fuente,41.72361111,-2.856944444
12/30/2020,,1,6,51,10,,10,Valladolid,Medina del Campo,41.31638889,-4.909166667
12/30/2020,,2,29,35,,,,Valladolid,Michelin1,41.66638889,-4.715
12/30/2020,,2,13,46,,,,Valladolid,Michelin2,41.68333333,-4.741111111
12/30/2020,,4,17,38,,,,Valladolid,VALLADOLID SUR,41.61138889,-4.772222222
12/30/2020,,3,16,45,6,,,Valladolid,Vega Sicilia,41.62055556,-4.746666667
12/30/2020,,10,14,57,9,,4,Zamora,Zamora 2,41.50888889,-5.748055556
12/29/2020,0.4,5,5,63,5,,5,Burgos,Aranda de Duero 2,41.66555556,-3.688888889
12/29/2020,0.6,7,11,,5,,1,Burgos,Burgos1,42.35111111,-3.675555556
12/29/2020,,1,1,69,7,,1,Burgos,Medina de Pomar,42.95166667,-3.475277778
12/29/2020,,3,11,60,6,,1,Burgos,Miranda de Ebro2,42.68527778,-2.940277778
12/29/2020,,6,19,59,3,,8,León,C.T.L.R. - Cuadros,42.71555556,-5.638888889
12/29/2020,,7,2,63,7,,2,León,Carracedelo,42.55861111,-6.725555556
12/29/2020,,,,,8,,,León,Toral de los Vados,42.545,-6.725555556
12/29/2020,,2,2,65,7,,6,León,Valderas,42.07972222,-5.448888889
12/29/2020,,2,4,69,4,,,Palencia,Renault4,41.96138889,-4.494444444
12/29/2020,0.3,3,5,67,8,,4,Segovia,Segovia 2,40.95583333,-4.110555556
12/29/2020,,12,13,62,6,,2,Soria,Soria,41.76722222,-2.480555556
12/29/2020,,7,18,,5,4,9,Valladolid,La rubia II,41.63,-4.740555556
12/29/2020,,2,4,60,8,,11,Valladolid,Medina del Campo,41.31638889,-4.909166667
12/29/2020,,1,6,57,,,,Valladolid,Michelin2,41.68333333,-4.741111111
12/29/2020,,2,4,59,6,3,3,Burgos,Burgos4,42.33472222,-3.637222222
12/29/2020,0.4,7,19,,7,,13,León,Leon1,43.60333333,-5.589166667
12/29/2020,,,,,7,,5,León,Otero,42.56444444,-6.781944444
12/29/2020,,1,6,69,10,,2,León,Ponferrada4,42.54277778,-6.585
12/29/2020,,2,1,62,1,1,3,Palencia,C.T.G. - Compuerto,42.84916667,-4.835833333
12/29/2020,,2,1,69,1,1,8,Palencia,C.T.G. - Villalba,42.70361111,-4.827222222
12/29/2020,,2,4,61,5,,6,Palencia,Hontoria 1 - Poblado,41.93277778,-4.47
12/29/2020,,5,1,65,3,,6,Palencia,Hontoria 2 - Venta de Baños,41.94805556,-4.465833333
12/29/2020,,4,12,,4,,1,Salamanca,Salamanca5,40.97888889,-5.666388889
12/29/2020,,4,10,63,10,3,,Salamanca,Salamanca6,40.96055556,-5.639444444
12/29/2020,,4,2,63,,,3,Soria,Muriel de la Fuente,41.72361111,-2.856944444
12/29/2020,0.8,5,20,,7,5,,Valladolid,Arco de ladrillo II,41.64555556,-4.730277778
12/29/2020,,5,17,51,10,5,,Valladolid,Puente Poniente-Mº Luisa Sánchez,41.65611111,-4.733888889
12/29/2020,,2,4,57,,,,Valladolid,Renault1,41.6,-4.7325
12/29/2020,,2,22,,2,,,Valladolid,Renault3,41.61277778,-4.740833333
12/29/2020,,8,8,64,7,,4,Zamora,Zamora 2,41.50888889,-5.748055556
12/29/2020,,2,1,70,6,,1,Avila,Avila II,40.66472222,-4.700833333
12/29/2020,,1,3,,4,,4,León,C.T.L.R. - Naredo,42.81666667,-5.533333333
12/29/2020,,1,1,74,4,,5,León,C.T.L.R. - Ventosilla,42.94416667,-5.661944444
12/29/2020,,2,5,61,16,,14,León,La Robla,42.80166667,-5.625
12/29/2020,,2,1,80,9,,3,León,Lario,43.04166667,-5.091388889
12/29/2020,,2,10,55,3,,1,León,Leon 4,42.57527778,-5.566388889
12/29/2020,,1,2,,5,,2,León,Tudela Veguin-Tudela Veguin,42.80166667,-5.648888889
12/29/2020,,3,5,65,4,,9,Palencia,Guardo,42.79138889,-4.846388889
12/29/2020,,2,1,69,1,,3,Palencia,Palencia 3,42.01777778,-4.540555556
12/29/2020,,1,1,75,,,2,Salamanca,El Maillo,40.56944444,-6.223888889
12/29/2020,,1,14,51,,,,Valladolid,Michelin1,41.66638889,-4.715
12/29/2020,0.2,7,44,,1,,,Valladolid,Renault2,41.60416667,-4.728888889
12/29/2020,,1,10,49,,,,Valladolid,VALLADOLID SUR,41.61138889,-4.772222222
12/29/2020,,5,14,53,4,,,Valladolid,Vega Sicilia,41.62055556,-4.746666667
12/28/2020,,3,2,72,7,,1,Avila,Avila II,40.66472222,-4.700833333
12/28/2020,0.4,5,3,69,4,,4,Burgos,Aranda de Duero 2,41.66555556,-3.688888889
12/28/2020,0.6,7,8,,3,,1,Burgos,Burgos1,42.35111111,-3.675555556
12/28/2020,,2,2,66,3,2,5,Burgos,Burgos4,42.33472222,-3.637222222
12/28/2020,,2,4,64,12,,11,León,La Robla,42.80166667,-5.625
12/28/2020,0.3,3,11,,5,,14,León,Leon1,43.60333333,-5.589166667
12/28/2020,,1,4,70,9,,2,León,Ponferrada4,42.54277778,-6.585
12/28/2020,,,,,7,,,León,Toral de los Vados,42.545,-6.725555556
12/28/2020,,1,1,,5,,2,León,Tudela Veguin-Tudela Veguin,42.80166667,-5.648888889
12/28/2020,,4,6,66,6,,10,Palencia,Guardo,42.79138889,-4.846388889
12/28/2020,,2,3,68,7,,7,Palencia,Hontoria 1 - Poblado,41.93277778,-4.47
12/28/2020,,2,4,75,6,,,Palencia,Renault4,41.96138889,-4.494444444
12/28/2020,,4,10,,6,,2,Salamanca,Salamanca5,40.97888889,-5.666388889
12/28/2020,0.3,2,2,74,8,,3,Segovia,Segovia 2,40.95583333,-4.110555556
12/28/2020,,4,2,70,,,2,Soria,Muriel de la Fuente,41.72361111,-2.856944444
12/28/2020,,9,10,69,7,,1,Soria,Soria,41.76722222,-2.480555556
12/28/2020,,1,12,56,,,,Valladolid,Michelin1,41.66638889,-4.715
12/28/2020,,4,11,58,11,4,,Valladolid,Puente Poniente-Mº Luisa Sánchez,41.65611111,-4.733888889
12/28/2020,,2,3,63,,,,Valladolid,Renault1,41.6,-4.7325
12/28/2020,0.2,4,37,,1,,,Valladolid,Renault2,41.60416667,-4.728888889
12/28/2020,,7,6,70,8,,3,Zamora,Zamora 2,41.50888889,-5.748055556
12/28/2020,,1,1,73,6,,3,Burgos,Medina de Pomar,42.95166667,-3.475277778
12/28/2020,,3,9,65,5,,1,Burgos,Miranda de Ebro2,42.68527778,-2.940277778
12/28/2020,,2,5,,4,,4,León,C.T.L.R. - Naredo,42.81666667,-5.533333333
12/28/2020,,1,1,71,2,,6,León,C.T.L.R. - Ventosilla,42.94416667,-5.661944444
12/28/2020,,7,2,64,6,,2,León,Carracedelo,42.55861111,-6.725555556
12/28/2020,,2,1,61,2,1,8,Palencia,C.T.G. - Compuerto,42.84916667,-4.835833333
12/28/2020,,5,1,69,4,,8,Palencia,Hontoria 2 - Venta de Baños,41.94805556,-4.465833333
12/28/2020,,2,1,76,1,,3,Palencia,Palencia 3,42.01777778,-4.540555556
12/28/2020,,4,5,70,10,2,,Salamanca,Salamanca6,40.96055556,-5.639444444
12/28/2020,,1,4,62,,,,Valladolid,Michelin2,41.68333333,-4.741111111
12/28/2020,,1,5,55,,,,Valladolid,VALLADOLID SUR,41.61138889,-4.772222222
12/28/2020,,3,7,60,5,,,Valladolid,Vega Sicilia,41.62055556,-4.746666667
12/28/2020,,6,18,60,3,,9,León,C.T.L.R. - Cuadros,42.71555556,-5.638888889
12/28/2020,,2,1,79,8,,2,León,Lario,43.04166667,-5.091388889
12/28/2020,,1,5,65,2,,1,León,Leon 4,42.57527778,-5.566388889
12/28/2020,,,,,7,,5,León,Otero,42.56444444,-6.781944444
12/28/2020,,2,2,70,4,,5,León,Valderas,42.07972222,-5.448888889
12/28/2020,,2,1,69,1,1,4,Palencia,C.T.G. - Villalba,42.70361111,-4.827222222
12/28/2020,,1,1,79,,,1,Salamanca,El Maillo,40.56944444,-6.223888889
12/28/2020,0.8,4,13,,5,4,,Valladolid,Arco de ladrillo II,41.64555556,-4.730277778
12/28/2020,,9,17,,5,3,11,Valladolid,La rubia II,41.63,-4.740555556
12/28/2020,,1,2,68,9,,11,Valladolid,Medina del Campo,41.31638889,-4.909166667
12/28/2020,,3,22,,3,,,Valladolid,Renault3,41.61277778,-4.740833333
12/27/2020,,1,9,40,11,,1,León,Leon 4,42.57527778,-5.566388889
12/27/2020,,,,,14,,,León,Toral de los Vados,42.545,-6.725555556
12/27/2020,,2,4,54,7,,7,León,Valderas,42.07972222,-5.448888889
12/27/2020,,6,7,41,7,,5,Palencia,Hontoria 2 - Venta de Baños,41.94805556,-4.465833333
12/27/2020,,4,6,48,3,,3,Palencia,Palencia 3,42.01777778,-4.540555556
12/27/2020,,5,6,66,5,,1,Soria,Soria,41.76722222,-2.480555556
12/27/2020,,3,16,36,,,,Valladolid,Michelin2,41.68333333,-4.741111111
12/27/2020,,6,19,36,15,10,,Valladolid,Puente Poniente-Mº Luisa Sánchez,41.65611111,-4.733888889
12/27/2020,0.4,5,3,52,5,,3,Burgos,Aranda de Duero 2,41.66555556,-3.688888889
12/27/2020,,1,2,47,5,,5,León,C.T.L.R. - Ventosilla,42.94416667,-5.661944444
12/27/2020,,2,2,56,11,,1,León,Lario,43.04166667,-5.091388889
12/27/2020,,2,1,52,3,3,1,Palencia,C.T.G. - Villalba,42.70361111,-4.827222222
12/27/2020,,3,10,41,11,,5,Palencia,Hontoria 1 - Poblado,41.93277778,-4.47
12/27/2020,,1,1,81,,,1,Salamanca,El Maillo,40.56944444,-6.223888889
12/27/2020,,1,4,42,10,,11,Valladolid,Medina del Campo,41.31638889,-4.909166667
12/27/2020,,2,20,34,,,,Valladolid,Michelin1,41.66638889,-4.715
12/27/2020,,3,8,41,,,,Valladolid,Renault1,41.6,-4.7325
12/27/2020,0.3,10,32,,1,,,Valladolid,Renault2,41.60416667,-4.728888889
12/27/2020,,4,22,,8,,,Valladolid,Renault3,41.61277778,-4.740833333
12/27/2020,,3,11,33,,,,Valladolid,VALLADOLID SUR,41.61138889,-4.772222222
12/27/2020,,5,8,52,6,,2,Zamora,Zamora 2,41.50888889,-5.748055556
12/27/2020,,3,7,55,5,,2,Avila,Avila II,40.66472222,-4.700833333
12/27/2020,0.6,6,8,,6,,1,Burgos,Burgos1,42.35111111,-3.675555556
12/27/2020,,2,2,60,3,3,7,Burgos,Burgos4,42.33472222,-3.637222222
12/27/2020,,1,1,55,7,,3,Burgos,Medina de Pomar,42.95166667,-3.475277778
12/27/2020,,2,7,62,9,,1,Burgos,Miranda de Ebro2,42.68527778,-2.940277778
12/27/2020,,4,20,42,8,,3,León,C.T.L.R. - Cuadros,42.71555556,-5.638888889
12/27/2020,,2,5,,6,,5,León,C.T.L.R. - Naredo,42.81666667,-5.533333333
12/27/2020,,7,7,34,17,,4,León,Carracedelo,42.55861111,-6.725555556
12/27/2020,,2,5,44,20,,21,León,La Robla,42.80166667,-5.625
12/27/2020,0.5,5,20,,13,,17,León,Leon1,43.60333333,-5.589166667
12/27/2020,,,,,8,,4,León,Otero,42.56444444,-6.781944444
12/27/2020,,3,8,42,18,,5,León,Ponferrada4,42.54277778,-6.585
12/27/2020,,2,4,,8,,2,León,Tudela Veguin-Tudela Veguin,42.80166667,-5.648888889
12/27/2020,,2,1,38,8,7,3,Palencia,C.T.G. - Compuerto,42.84916667,-4.835833333
12/27/2020,,2,6,52,12,,22,Palencia,Guardo,42.79138889,-4.846388889
12/27/2020,,2,10,46,8,,,Palencia,Renault4,41.96138889,-4.494444444
12/27/2020,,3,12,,4,,4,Salamanca,Salamanca5,40.97888889,-5.666388889
12/27/2020,,4,6,55,10,4,,Salamanca,Salamanca6,40.96055556,-5.639444444
12/27/2020,0.3,2,9,57,7,,4,Segovia,Segovia 2,40.95583333,-4.110555556
12/27/2020,,4,2,61,,,1,Soria,Muriel de la Fuente,41.72361111,-2.856944444
12/27/2020,0.9,6,19,,12,10,,Valladolid,Arco de ladrillo II,41.64555556,-4.730277778
12/27/2020,,7,18,,12,9,9,Valladolid,La rubia II,41.63,-4.740555556
12/27/2020,,2,11,39,11,,,Valladolid,Vega Sicilia,41.62055556,-4.746666667
12/26/2020,,2,4,59,7,,3,Avila,Avila II,40.66472222,-4.700833333
12/26/2020,0.6,8,15,,4,,1,Burgos,Burgos1,42.35111111,-3.675555556
12/26/2020,,5,24,40,7,,4,León,C.T.L.R. - Cuadros,42.71555556,-5.638888889
12/26/2020,,2,7,51,17,,12,León,La Robla,42.80166667,-5.625
12/26/2020,,2,3,61,16,,2,León,Lario,43.04166667,-5.091388889
12/26/2020,,7,22,28,13,,1,León,Leon 4,42.57527778,-5.566388889
12/26/2020,,1,5,,10,,2,León,Tudela Veguin-Tudela Veguin,42.80166667,-5.648888889
12/26/2020,,6,11,42,5,,3,Palencia,Palencia 3,42.01777778,-4.540555556
12/26/2020,,3,18,40,6,,,Palencia,Renault4,41.96138889,-4.494444444
12/26/2020,,1,1,82,,,3,Salamanca,El Maillo,40.56944444,-6.223888889
12/26/2020,,10,15,61,6,,1,Soria,Soria,41.76722222,-2.480555556
12/26/2020,1,38,45,,16,12,,Valladolid,Arco de ladrillo II,41.64555556,-4.730277778
12/26/2020,,25,35,,12,8,5,Valladolid,La rubia II,41.63,-4.740555556
12/26/2020,,5,9,27,18,,11,Valladolid,Medina del Campo,41.31638889,-4.909166667
12/26/2020,,4,21,31,,,,Valladolid,Michelin2,41.68333333,-4.741111111
12/26/2020,,11,24,27,,,,Valladolid,Renault1,41.6,-4.7325
12/26/2020,,10,23,22,,,,Valladolid,VALLADOLID SUR,41.61138889,-4.772222222
12/26/2020,,2,6,,9,,6,León,C.T.L.R. - Naredo,42.81666667,-5.533333333
12/26/2020,,1,2,54,6,,4,León,C.T.L.R. - Ventosilla,42.94416667,-5.661944444
12/26/2020,,9,9,16,18,,3,León,Carracedelo,42.55861111,-6.725555556
12/26/2020,,8,18,14,32,,7,León,Ponferrada4,42.54277778,-6.585
12/26/2020,,3,7,51,11,,7,León,Valderas,42.07972222,-5.448888889
12/26/2020,,2,1,42,2,2,2,Palencia,C.T.G. - Villalba,42.70361111,-4.827222222
12/26/2020,,5,11,43,10,,11,Palencia,Guardo,42.79138889,-4.846388889
12/26/2020,,3,14,35,10,,2,Palencia,Hontoria 1 - Poblado,41.93277778,-4.47
12/26/2020,,6,7,38,6,,1,Palencia,Hontoria 2 - Venta de Baños,41.94805556,-4.465833333
12/26/2020,,8,20,,5,,7,Salamanca,Salamanca5,40.97888889,-5.666388889
12/26/2020,,4,2,50,,,1,Soria,Muriel de la Fuente,41.72361111,-2.856944444
12/26/2020,,14,29,21,,,,Valladolid,Michelin1,41.66638889,-4.715
12/26/2020,,18,37,27,16,10,,Valladolid,Puente Poniente-Mº Luisa Sánchez,41.65611111,-4.733888889
12/26/2020,0.3,29,40,,2,,,Valladolid,Renault2,41.60416667,-4.728888889
12/26/2020,,18,46,,7,,,Valladolid,Renault3,41.61277778,-4.740833333
12/26/2020,,13,32,26,12,,,Valladolid,Vega Sicilia,41.62055556,-4.746666667
12/26/2020,,14,20,27,14,,3,Zamora,Zamora 2,41.50888889,-5.748055556
12/26/2020,0.4,5,10,52,5,,3,Burgos,Aranda de Duero 2,41.66555556,-3.688888889
12/26/2020,,3,7,56,4,3,5,Burgos,Burgos4,42.33472222,-3.637222222
12/26/2020,,1,1,61,7,,2,Burgos,Medina de Pomar,42.95166667,-3.475277778
12/26/2020,,3,15,53,9,,1,Burgos,Miranda de Ebro2,42.68527778,-2.940277778
12/26/2020,0.7,19,38,,20,,16,León,Leon1,43.60333333,-5.589166667
12/26/2020,,,,,8,,3,León,Otero,42.56444444,-6.781944444
12/26/2020,,,,,15,,,León,Toral de los Vados,42.545,-6.725555556
12/26/2020,,2,3,36,5,5,6,Palencia,C.T.G. - Compuerto,42.84916667,-4.835833333
12/26/2020,,4,6,46,10,5,,Salamanca,Salamanca6,40.96055556,-5.639444444
12/26/2020,0.3,2,9,47,9,,3,Segovia,Segovia 2,40.95583333,-4.110555556
12/25/2020,0.4,5,7,55,4,,2,Burgos,Aranda de Duero 2,41.66555556,-3.688888889
12/25/2020,,3,10,59,9,,2,Burgos,Miranda de Ebro2,42.68527778,-2.940277778
12/25/2020,,2,16,44,5,,2,León,Leon 4,42.57527778,-5.566388889
12/25/2020,,,,,10,,3,León,Otero,42.56444444,-6.781944444
12/25/2020,,11,15,11,25,,7,León,Ponferrada4,42.54277778,-6.585
12/25/2020,,1,2,52,2,1,4,Palencia,C.T.G. - Compuerto,42.84916667,-4.835833333
12/25/2020,,2,1,54,2,1,2,Palencia,C.T.G. - Villalba,42.70361111,-4.827222222
12/25/2020,,2,5,59,8,,7,Palencia,Guardo,42.79138889,-4.846388889
12/25/2020,,1,2,63,2,,4,Palencia,Palencia 3,42.01777778,-4.540555556
12/25/2020,,1,1,77,,,3,Salamanca,El Maillo,40.56944444,-6.223888889
12/25/2020,0.8,5,18,,8,8,,Valladolid,Arco de ladrillo II,41.64555556,-4.730277778
12/25/2020,,1,3,42,10,,15,Valladolid,Medina del Campo,41.31638889,-4.909166667
12/25/2020,,2,15,42,9,,,Valladolid,Vega Sicilia,41.62055556,-4.746666667
12/25/2020,,1,1,70,9,,4,Burgos,Medina de Pomar,42.95166667,-3.475277778
12/25/2020,,4,17,54,4,,4,León,C.T.L.R. - Cuadros,42.71555556,-5.638888889
12/25/2020,,1,3,,4,,4,León,C.T.L.R. - Naredo,42.81666667,-5.533333333
12/25/2020,,1,1,69,3,,4,León,C.T.L.R. - Ventosilla,42.94416667,-5.661944444
12/25/2020,,6,5,16,13,,2,León,Carracedelo,42.55861111,-6.725555556
12/25/2020,,1,2,68,9,,25,León,La Robla,42.80166667,-5.625
12/25/2020,,2,1,74,15,,1,León,Lario,43.04166667,-5.091388889
12/25/2020,0.5,5,24,,12,,9,León,Leon1,43.60333333,-5.589166667
12/25/2020,,,,,14,,,León,Toral de los Vados,42.545,-6.725555556
12/25/2020,,1,1,,5,,2,León,Tudela Veguin-Tudela Veguin,42.80166667,-5.648888889
12/25/2020,,2,5,52,12,,2,Palencia,Hontoria 1 - Poblado,41.93277778,-4.47
12/25/2020,0.3,1,8,51,8,,4,Segovia,Segovia 2,40.95583333,-4.110555556
12/25/2020,,4,16,,8,4,5,Valladolid,La rubia II,41.63,-4.740555556
12/25/2020,,3,10,47,8,5,,Valladolid,Puente Poniente-Mº Luisa Sánchez,41.65611111,-4.733888889
12/25/2020,,3,11,44,,,,Valladolid,Renault1,41.6,-4.7325
12/25/2020,,4,32,,4,,,Valladolid,Renault3,41.61277778,-4.740833333
12/25/2020,,5,9,41,7,,3,Zamora,Zamora 2,41.50888889,-5.748055556
12/25/2020,,2,2,58,4,,5,Avila,Avila II,40.66472222,-4.700833333
12/25/2020,0.6,6,7,,5,,1,Burgos,Burgos1,42.35111111,-3.675555556
12/25/2020,,2,2,63,2,2,3,Burgos,Burgos4,42.33472222,-3.637222222
12/25/2020,,2,4,56,8,,5,León,Valderas,42.07972222,-5.448888889
12/25/2020,,5,2,53,4,,1,Palencia,Hontoria 2 - Venta de Baños,41.94805556,-4.465833333
12/25/2020,,1,7,61,5,,,Palencia,Renault4,41.96138889,-4.494444444
12/25/2020,,3,8,,2,,2,Salamanca,Salamanca5,40.97888889,-5.666388889
12/25/2020,,3,3,49,9,4,,Salamanca,Salamanca6,40.96055556,-5.639444444
12/25/2020,,4,2,47,,,2,Soria,Muriel de la Fuente,41.72361111,-2.856944444
12/25/2020,,4,8,66,5,,1,Soria,Soria,41.76722222,-2.480555556
12/25/2020,,2,13,39,,,,Valladolid,Michelin1,41.66638889,-4.715
12/25/2020,,1,8,48,,,,Valladolid,Michelin2,41.68333333,-4.741111111
12/25/2020,0.2,9,21,,1,,,Valladolid,Renault2,41.60416667,-4.728888889
12/25/2020,,1,8,44,,,,Valladolid,VALLADOLID SUR,41.61138889,-4.772222222
12/24/2020,0.5,8,12,,6,,1,Burgos,Burgos1,42.35111111,-3.675555556
12/24/2020,,,,,9,,4,León,Otero,42.56444444,-6.781944444
12/24/2020,,,,,14,,,León,Toral de los Vados,42.545,-6.725555556
12/24/2020,,2,5,56,6,,7,León,Valderas,42.07972222,-5.448888889
12/24/2020,,5,7,43,4,,4,Palencia,Palencia 3,42.01777778,-4.540555556
